time,header,pose
2023/07/13 14:47:58.642635394,"{'stamp': {'secs': 1689252478, 'nsecs': 642026142}, 'frame_id': 'map'}","{'position': {'x': -1.9881590604782104, 'y': -0.7837309837341309, 'z': -1.5315403938293457}, 'orientation': {'x': 0.013507133609305857, 'y': 0.018883514205469916, 'z': -0.9971025849599202, 'w': -0.072438976381211}}"
2023/07/13 14:47:58.745285529,"{'stamp': {'secs': 1689252478, 'nsecs': 742259914}, 'frame_id': 'map'}","{'position': {'x': -1.9850988388061523, 'y': -0.7826669216156006, 'z': -1.5291013717651367}, 'orientation': {'x': 0.013518126617412361, 'y': 0.018896283864974165, 'z': -0.9971015961677492, 'w': -0.07244720580241243}}"
2023/07/13 14:47:58.854970663,"{'stamp': {'secs': 1689252478, 'nsecs': 852248322}, 'frame_id': 'map'}","{'position': {'x': -1.9831587076187134, 'y': -0.7819179892539978, 'z': -1.525627613067627}, 'orientation': {'x': 0.013562229040918415, 'y': 0.018917162530769558, 'z': -0.9971002439510749, 'w': -0.07245212500633375}}"
2023/07/13 14:47:58.951680232,"{'stamp': {'secs': 1689252478, 'nsecs': 951113961}, 'frame_id': 'map'}","{'position': {'x': -1.9807459115982056, 'y': -0.7813073992729187, 'z': -1.5252070426940918}, 'orientation': {'x': 0.013596146742629349, 'y': 0.018933797535333217, 'z': -0.9970982295334647, 'w': -0.07246914354312328}}"
2023/07/13 14:47:59.49260021,"{'stamp': {'secs': 1689252479, 'nsecs': 46663141}, 'frame_id': 'map'}","{'position': {'x': -1.977005958557129, 'y': -0.7806448936462402, 'z': -1.5251874923706055}, 'orientation': {'x': 0.013594733111386826, 'y': 0.018951454723502598, 'z': -0.9970969457568482, 'w': -0.07248245551758137}}"
2023/07/13 14:47:59.147893880,"{'stamp': {'secs': 1689252479, 'nsecs': 143686739}, 'frame_id': 'map'}","{'position': {'x': -1.9743245840072632, 'y': -0.780936598777771, 'z': -1.5234994888305664}, 'orientation': {'x': 0.013582393285013794, 'y': 0.018954208089450312, 'z': -0.9970971223502059, 'w': -0.07248161966520505}}"
2023/07/13 14:47:59.248382515,"{'stamp': {'secs': 1689252479, 'nsecs': 245978374}, 'frame_id': 'map'}","{'position': {'x': -1.9727766513824463, 'y': -0.7829191088676453, 'z': -1.5210895538330078}, 'orientation': {'x': 0.013617309288188112, 'y': 0.018995032316638658, 'z': -0.9970965174974048, 'w': -0.0724727012714928}}"
2023/07/13 14:47:59.349688252,"{'stamp': {'secs': 1689252479, 'nsecs': 347918364}, 'frame_id': 'map'}","{'position': {'x': -1.9713422060012817, 'y': -0.7849265933036804, 'z': -1.5200278759002686}, 'orientation': {'x': 0.013612620997764826, 'y': 0.019018120417935398, 'z': -0.997096275251893, 'w': -0.07247085982752871}}"
2023/07/13 14:47:59.451001194,"{'stamp': {'secs': 1689252479, 'nsecs': 446177578}, 'frame_id': 'map'}","{'position': {'x': -1.967390537261963, 'y': -0.7865551710128784, 'z': -1.518570899963379}, 'orientation': {'x': 0.013602131384914453, 'y': 0.019047537312659124, 'z': -0.9970954469801835, 'w': -0.07247649933253186}}"
2023/07/13 14:47:59.553448289,"{'stamp': {'secs': 1689252479, 'nsecs': 547782683}, 'frame_id': 'map'}","{'position': {'x': -1.9640700817108154, 'y': -0.7878798246383667, 'z': -1.519251823425293}, 'orientation': {'x': 0.013576421302102576, 'y': 0.01904614658833412, 'z': -0.9970961320563158, 'w': -0.07247226036972859}}"
2023/07/13 14:47:59.653517355,"{'stamp': {'secs': 1689252479, 'nsecs': 652137407}, 'frame_id': 'map'}","{'position': {'x': -1.9591442346572876, 'y': -0.7860974669456482, 'z': -1.5221335887908936}, 'orientation': {'x': 0.013571050133976265, 'y': 0.019021132438196146, 'z': -0.9970965442856425, 'w': -0.07247416431156539}}"
2023/07/13 14:47:59.743125680,"{'stamp': {'secs': 1689252479, 'nsecs': 739947306}, 'frame_id': 'map'}","{'position': {'x': -1.9552433490753174, 'y': -0.7851654887199402, 'z': -1.5246162414550781}, 'orientation': {'x': 0.013553984608406544, 'y': 0.01899629904215163, 'z': -0.9970966869820119, 'w': -0.0724819076282619}}"
2023/07/13 14:47:59.847339183,"{'stamp': {'secs': 1689252479, 'nsecs': 843904182}, 'frame_id': 'map'}","{'position': {'x': -1.9485763311386108, 'y': -0.7838659286499023, 'z': -1.5281445980072021}, 'orientation': {'x': 0.013526697445771027, 'y': 0.018977480725321308, 'z': -0.9970980780546757, 'w': -0.07247279780167615}}"
2023/07/13 14:47:59.936782213,"{'stamp': {'secs': 1689252479, 'nsecs': 936252608}, 'frame_id': 'map'}","{'position': {'x': -1.943489670753479, 'y': -0.7833154201507568, 'z': -1.5293245315551758}, 'orientation': {'x': 0.013507423026869638, 'y': 0.018987525258816147, 'z': -0.9970972147237189, 'w': -0.07248563856324053}}"
2023/07/13 14:48:00.50365734,"{'stamp': {'secs': 1689252480, 'nsecs': 42652889}, 'frame_id': 'map'}","{'position': {'x': -1.937159776687622, 'y': -0.7789139151573181, 'z': -1.5310568809509277}, 'orientation': {'x': 0.013505888477336142, 'y': 0.018942737265094076, 'z': -0.9970985386373199, 'w': -0.07247943107299054}}"
